Date,Abs Extrema Duration,Low Threshold Count,Max Between Min,Pattern Extrema Duration,Min Deviation,Min Mean,Label
2000-03-03,0.7,0.03333333333333333,False,0.1,0.3837453850810862,0.2623429838113789,0.0
2019-03-27,0.36666666666666664,0.03333333333333333,False,0.2,0.48345942822579935,0.3823957322987397,0.0
2012-03-16,0.7,0.06666666666666667,True,0.06666666666666667,0.01233301556957248,0.008720758941723972,1.0
2010-02-15,0.4666666666666667,0.06666666666666667,True,0.13333333333333333,0.385686890393576,0.08780674846625747,0.0
2013-07-24,0.5666666666666667,0.0,False,0.06666666666666667,0.08390571363234446,0.48000650195058636,0.0
2011-10-13,0.6,0.0,False,0.03333333333333333,0.19038790608577388,0.4197957027122232,0.0
2018-04-30,0.43333333333333335,0.03333333333333333,False,0.2,0.19823853689715515,0.23152767878356073,0.0
2000-07-28,0.4,0.06666666666666667,True,0.03333333333333333,0.36937984883581526,0.04715840386940773,0.0
2005-04-06,0.2,0.06666666666666667,True,0.13333333333333333,0.31698366613766443,0.10898328690807979,1.0
2014-12-04,0.7666666666666667,0.1,True,0.03333333333333333,0.3243191458665396,0.03648230273617159,1.0
2016-09-06,0.5,0.06666666666666667,True,0.03333333333333333,0.2273596375668059,0.03432965128871679,0.0
2006-05-03,0.7666666666666667,0.06666666666666667,True,0.03333333333333333,0.33627730476233664,0.1573143933448442,0.0
2015-12-08,0.9666666666666667,0.03333333333333333,False,0.03333333333333333,0.31250259659928037,0.25849595720104546,0.0
2006-12-27,0.9666666666666667,0.06666666666666667,True,0.26666666666666666,0.2768041052722625,0.15832115818833614,0.0
2008-11-18,0.9,0.03333333333333333,False,0.13333333333333333,0.28250403756735554,0.2526859257490748,0.0
2011-07-21,0.4666666666666667,0.1,True,0.3,0.07498576466228274,0.05862482777012312,1.0
2012-08-21,0.3333333333333333,0.06666666666666667,True,0.1,0.43582747347958156,0.017205313251751786,1.0
2014-03-06,0.5,0.03333333333333333,False,0.13333333333333333,0.20143607054660861,0.10498159226875359,1.0
2002-05-15,0.8666666666666667,0.03333333333333333,False,0.13333333333333333,0.3577829720053059,0.1299384210890473,0.0
2006-11-20,0.3333333333333333,0.03333333333333333,False,0.23333333333333334,0.37162890542391686,0.26278131911018576,0.0
2005-08-10,0.5333333333333333,0.03333333333333333,False,0.16666666666666666,0.42554369735849196,0.14413909141895687,0.0
2006-11-15,0.3333333333333333,0.03333333333333333,False,0.4666666666666667,0.35153144506629336,0.26278131911018576,1.0
2002-11-15,0.5333333333333333,0.06666666666666667,True,0.16666666666666666,0.23992675278829034,0.0647545830869296,0.0
2014-02-13,0.2,0.03333333333333333,False,0.13333333333333333,0.17068296130121377,0.13960323291697385,0.0
2007-12-06,0.8,0.03333333333333333,False,0.26666666666666666,0.5040251825528583,0.35639962447191365,0.0
2012-03-23,0.9333333333333333,0.1,True,0.06666666666666667,0.46293182331865074,0.011487512073961703,1.0
2009-05-18,0.9666666666666667,0.0,False,0.06666666666666667,0.13953644850507088,0.46659783796914844,0.0
2007-11-08,0.4,0.0,False,0.2,0.38674879011763597,0.5045327179825279,0.0
2002-05-31,0.5666666666666667,0.03333333333333333,False,0.06666666666666667,0.20371434799301474,0.151599395936298,1.0
2004-12-29,0.36666666666666664,0.06666666666666667,True,0.13333333333333333,0.5322453765007912,0.011962166172105881,1.0
2007-10-11,0.7,0.0,False,0.03333333333333333,0.2948690145608344,0.27578724263221766,0.0
2018-07-19,0.36666666666666664,0.03333333333333333,False,0.23333333333333334,0.3062514568655012,0.3571428571428559,0.0
2007-08-17,0.26666666666666666,0.06666666666666667,True,0.1,0.27813074946706995,0.08940686179492108,1.0
2002-05-28,0.7,0.06666666666666667,True,0.1,0.4237827966648388,0.04944497089481503,1.0
2016-06-10,0.06666666666666667,0.03333333333333333,False,0.1,0.21772032331948113,0.27167420814479604,1.0
2000-08-22,0.16666666666666666,0.06666666666666667,True,0.06666666666666667,0.20166855186981456,0.14171085682389073,0.0
2000-12-13,0.6,0.03333333333333333,False,0.1,0.3080476794628709,0.15821338816541042,1.0
2014-02-19,0.4,0.03333333333333333,False,0.1,0.06954741294940116,0.19812614259597794,1.0
2004-12-22,0.3,0.06666666666666667,True,0.13333333333333333,0.022123884252502557,0.01564394858113083,1.0
2008-10-16,0.13333333333333333,0.06666666666666667,True,0.23333333333333334,0.04379843120989237,0.03097016771384742,1.0
2010-01-26,0.26666666666666666,0.06666666666666667,True,0.1,0.31428568358323605,0.07554338944271954,1.0
2002-07-15,0.43333333333333335,0.06666666666666667,True,0.4,0.2305934330369648,0.09478155339805738,1.0
2008-05-05,0.6,0.03333333333333333,False,0.3333333333333333,0.39666019958795734,0.28516054008656866,0.0
2005-02-25,0.26666666666666666,0.06666666666666667,True,0.1,0.3129901561490387,0.08719346049046273,1.0
2009-06-09,0.7666666666666667,0.06666666666666667,True,0.13333333333333333,0.08512663641391584,0.08092255125284709,1.0
2008-06-03,0.9333333333333333,0.06666666666666667,True,0.06666666666666667,0.44676675847087777,0.08202614379084983,0.0
2008-05-23,0.9666666666666667,0.03333333333333333,False,0.03333333333333333,0.45081270112414357,0.2426202577134342,0.0
2015-04-30,0.4,0.03333333333333333,False,0.23333333333333334,0.3058859146303884,0.19031517162179323,0.0
2006-03-20,0.16666666666666666,0.03333333333333333,False,0.2,0.3712813561119158,0.30583357163282443,0.0
2015-09-09,0.4,0.0,False,0.2,0.28330448665116,0.32870370370370594,1.0
2012-08-07,0.8333333333333334,0.1,True,0.03333333333333333,0.07531603279322559,0.1171243224029146,0.0
2009-03-26,0.9,0.03333333333333333,False,0.13333333333333333,0.3077367773829364,0.20985498668245084,0.0
2014-03-12,0.5,0.03333333333333333,False,0.13333333333333333,0.1641347389634773,0.10498159226875359,1.0
2013-11-12,0.16666666666666666,0.06666666666666667,True,0.06666666666666667,0.32107982455188,0.009113924050632605,1.0
2011-05-26,0.6,0.06666666666666667,True,0.3333333333333333,0.30402186993224706,0.037095088819227406,1.0
2011-10-28,0.6666666666666666,0.03333333333333333,False,0.4666666666666667,0.3474701658450074,0.2902542372881358,0.0
2002-01-03,0.8,0.06666666666666667,True,0.06666666666666667,0.15156403520705103,0.0740236148955491,1.0
2007-08-08,0.9333333333333333,0.06666666666666667,True,0.1,0.2817097280260154,0.07459970887918477,1.0
2013-10-31,0.7,0.03333333333333333,False,0.06666666666666667,0.3245601176039391,0.197328629032258,0.0
2013-11-14,0.16666666666666666,0.06666666666666667,True,0.06666666666666667,0.21416525948856432,0.027431841130932888,1.0
2009-03-31,0.8333333333333334,0.0,False,0.06666666666666667,0.07914646521361754,0.42244425490434967,0.0
2017-01-31,0.7333333333333333,0.1,True,0.1,0.09742869929192399,0.04511627906976656,0.0
2018-01-25,0.8666666666666667,0.06666666666666667,True,0.03333333333333333,0.11834267481859814,0.07307944231309094,1.0
2009-12-28,0.7666666666666667,0.03333333333333333,False,0.1,0.42543367447718855,0.20273419991035402,0.0
2017-08-21,0.4,0.06666666666666667,True,0.16666666666666666,0.3204101373574193,0.14214966984592436,1.0
2000-12-13,0.6,0.03333333333333333,False,0.1,0.3080476794628709,0.15821338816541042,1.0
2000-05-30,0.43333333333333335,0.06666666666666667,True,0.1,0.20662728089483298,0.0762936408977577,1.0
2018-07-26,0.8666666666666667,0.03333333333333333,False,0.23333333333333334,0.3736372054775843,0.4180191811139835,0.0
2015-01-23,0.6666666666666666,0.0,False,0.13333333333333333,0.281984934036817,0.2036173877799179,1.0
2013-11-25,0.6666666666666666,0.06666666666666667,True,0.06666666666666667,0.29063919572145586,0.018415998192294225,1.0
2004-03-04,0.6,0.06666666666666667,True,0.06666666666666667,0.46939928453221047,0.03208875896890717,1.0
2017-03-17,0.7333333333333333,0.06666666666666667,True,0.06666666666666667,0.36265954296554065,0.09902649218001969,0.0
2008-12-18,0.43333333333333335,0.06666666666666667,True,0.13333333333333333,0.348409669607446,0.04174561457123671,1.0
2005-08-08,0.4666666666666667,0.03333333333333333,False,0.16666666666666666,0.47141622391437776,0.15967691829760877,0.0
2002-09-25,0.6,0.06666666666666667,True,0.06666666666666667,0.34054436069763855,0.06274608783442792,1.0
2015-11-17,0.43333333333333335,0.1,True,0.06666666666666667,0.33340311411561163,0.038616453529352945,1.0
2005-08-01,0.3,0.03333333333333333,False,0.6,0.16979174507597353,0.16537717601547453,0.0
2007-08-31,0.6,0.06666666666666667,True,0.06666666666666667,0.27251660603803407,0.15871789210274478,1.0
2000-05-05,0.43333333333333335,0.03333333333333333,False,0.4666666666666667,0.1516638595205342,0.23882097474666253,0.0
2005-10-04,0.6,0.06666666666666667,True,0.43333333333333335,0.24668043447446833,0.15468447881877445,1.0
2001-10-04,0.9,0.03333333333333333,False,0.2,0.29024907632654656,0.20122992825418518,0.0
2001-05-07,0.8666666666666667,0.0,False,0.3333333333333333,0.18140669714889562,0.37487231869254245,0.0
2014-10-21,0.8333333333333334,0.0,False,0.5,0.3106229168192948,0.3286335403726701,0.0
2002-02-27,0.5,0.0,False,0.1,0.1658708054438307,0.4702580263935374,0.0
2016-07-22,0.7,0.03333333333333333,False,0.13333333333333333,0.35148829977047963,0.16364180295173547,0.0
2010-02-10,0.4666666666666667,0.06666666666666667,True,0.13333333333333333,0.408479264137376,0.04888803680981635,1.0
2016-04-19,0.23333333333333334,0.1,True,0.3,0.30249099444794825,0.011148506520824775,0.0
2009-11-05,0.3,0.0,False,0.06666666666666667,0.14829323454024812,0.3747498999599843,0.0
2002-08-26,0.7,0.06666666666666667,True,0.06666666666666667,0.29746042104126696,0.03827827191867872,1.0
2016-02-23,0.43333333333333335,0.03333333333333333,False,0.23333333333333334,0.33965205853859076,0.3016927083333334,0.0
2000-11-07,0.9333333333333333,0.06666666666666667,True,0.3,0.21792196123575977,0.0910391700947959,0.0
2006-11-13,0.3333333333333333,0.0,False,0.3,0.24286348684138376,0.5316118121503841,1.0
2004-02-13,0.2,0.06666666666666667,True,0.06666666666666667,0.4592885156066754,0.00890901124580079,1.0
2013-12-27,0.43333333333333335,0.1,True,0.1,0.0939935285555629,0.04303330790745008,1.0
2002-07-18,0.43333333333333335,0.06666666666666667,True,0.4,0.15925762996709675,0.09478155339805738,1.0
2013-11-21,0.5333333333333333,0.06666666666666667,True,0.06666666666666667,0.4221161664456769,0.025092364532019573,1.0
2002-01-30,0.3,0.1,True,0.1,0.3644894838823024,0.10148755734742032,1.0
2007-08-03,0.7666666666666667,0.06666666666666667,True,0.4,0.28492328477047535,0.06558311947533557,0.0
2014-06-20,0.4666666666666667,0.06666666666666667,True,0.1,0.3189426900889955,0.04721835883170922,1.0
2002-05-29,0.5666666666666667,0.03333333333333333,False,0.06666666666666667,0.3381862154684084,0.14948558278056012,1.0
2012-11-02,0.7333333333333333,0.03333333333333333,False,0.13333333333333333,0.2822338229850554,0.10581467022806468,0.0
2013-11-08,0.16666666666666666,0.1,True,0.23333333333333334,0.27287243119443066,0.009113924050632605,1.0
2001-02-14,0.8666666666666667,0.03333333333333333,False,0.13333333333333333,0.3689451089232949,0.25257650853591374,0.0
